sample,Sample_name,Locus,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,MiSeqRun
MC_E,102,BF3,3,236bca3206ed3c0579926bb1ee98706ea6e8e5d4,21,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,102,BF3,3,85ae8b995a1c9e5d9f4b6e265538078035f220d2,300,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,102,BF3,3,aee053d6803cdb5a8171495d7b79efae9b68c8f7,397,species,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,Zosteraceae,3
MC_E,102,BF3,3,5063322535c4f9af1322193a29f070001788c0f8,23,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,102,BF3,3,f9bec8a1cda505aef0a4a5a162274b00b387872d,85,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_E,102,BF3,3,4fbc29db0ec34b07a492602fa5bc926278f03216,79,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_E,102,BF3,3,5067c5c135bdabdc6703f190bac600b36ade0aa5,218,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,102,BF3,3,984560259e9b6fba757665c6a6d7250bcaea3f63,53,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,102,BF3,3,11bc5b4f80a0f346a1cc03a86a26dd4313bff62a,22,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,102,BF3,3,1213612785627a26f9995b9f29b2f7daf628ab3a,13,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,3
MC_E,102,BF3,3,46058688dff6ad0c446936715da0b6d461d66ff4,8,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,57f93ec05f3192f667645192b0cab92062bf5414,12,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,921a619530265c77845aff59fa0e09fb1ca270cb,8,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,4f61e33a32c46d7f81d526f66acfe3e088d196a6,5,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,da737e5bc821aa9033b9b3addd4ecf269e484850,22,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,60a76d41f52cd47e97e8b91e91e4d5fbb0e9ea0a,10,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,9702f8fe5bf5f9cd5e7b32e0a985eda541115b40,16,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,cc9f28d821e5da35b632c92b8bf4da48c6aa307d,5,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,102,BF3,3,19c452afabe9fa95a9b391138b663452ee3c65a2,4,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,102,BF3,3,44c7bc935a972688df6b0a89207d6dea88f532b6,4,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_E,102,BF3,3,53555da55e38651ec0bc75c1cae1367e067f2fed,4,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_D,90,BF3,3,5788d9dc7676015bdad42714abfc36866ef9dde3,35383,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,fd21a4a69e41031e050b80c96a578a2b0e1575ad,22256,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,5
MC_D,90,BF3,3,41384eb53ebdac9ad36e75109961bdacfada2509,12074,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,5
MC_D,90,BF3,3,35bcbb88b7a1827e9131054759e25603a6ef1e4b,11869,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,5
MC_D,90,BF3,3,5cc5bda34a61687ff23dd35422f3f67055889af9,16001,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,5
MC_D,90,BF3,3,fa07c137c879896a4b3550b677aac7c27dd4f250,2214,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,5
MC_D,90,BF3,3,fdc80ae5c5d103b2e88889628d1e88288fe07089,5065,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,5
MC_D,90,BF3,3,7e7ae42efc9e7b56783c47f09c146656a8e3d3fc,4795,genus,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Cottus,5
MC_D,90,BF3,3,0ab1ec29c0fb16023698a253b1a05c9bb55d6eef,943,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,5912de453e37344840868fe7776e6f84659742f2,1946,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,5
MC_D,90,BF3,3,85ae8b995a1c9e5d9f4b6e265538078035f220d2,712,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,5
MC_D,90,BF3,3,aee053d6803cdb5a8171495d7b79efae9b68c8f7,662,species,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,Zosteraceae,5
MC_D,90,BF3,3,8631c8817a3e0f66abffa477be2f44653cfe0d60,393,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,03b43dad6d40a4c17a2f64069afcc82a9a4ec886,299,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
