EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.565,WACO21-565,9/7/2021,Willapa,Nahcotta,68,Male
WACO.2021.566,WACO21-566,9/7/2021,Willapa,Nahcotta,56,Male
WACO.2021.567,WACO21-567,9/7/2021,Willapa,Nahcotta,50,Male
WACO.2021.568,WACO21-568,9/7/2021,Willapa,Nahcotta,51,Male
WACO.2021.569,WACO21-569,9/7/2021,Willapa,Nahcotta,89,Male
WACO.2021.570,WACO21-570,9/7/2021,Willapa,Nahcotta,73,Male
WACO.2021.571,WACO21-571,9/7/2021,Willapa,Nahcotta,65,Male
WACO.2021.572,WACO21-572,9/7/2021,Willapa,Nahcotta,60,Female
WACO.2021.573,WACO21-573,9/7/2021,Willapa,Nahcotta,60,Male
WACO.2021.574,WACO21-574,9/7/2021,Willapa,Nahcotta,65,Female
WACO.2021.575,WACO21-575,9/7/2021,Willapa,Nahcotta,63,Male
WACO.2021.576,WACO21-576,9/7/2021,Willapa,Nahcotta,59,Female
WACO.2021.577,WACO21-577,9/7/2021,Willapa,Nahcotta,71,Female
WACO.2021.578,WACO21-578,9/7/2021,Willapa,Nahcotta,70,Male
WACO.2021.579,WACO21-579,9/7/2021,Willapa,Nahcotta,52,Male
WACO.2021.580,WACO21-580,9/7/2021,Willapa,Nahcotta,55,Female
WACO.2021.581,WACO21-581,9/7/2021,Willapa,Nahcotta,61,Female
WACO.2021.582,WACO21-582,9/7/2021,Willapa,Nahcotta,61,Female
WACO.2021.583,WACO21-583,9/7/2021,Willapa,Nahcotta,74,Female
WACO.2021.584,WACO21-584,9/7/2021,Willapa,Nahcotta,68,Male
WACO.2021.585,WACO21-585,9/7/2021,Willapa,Nahcotta,67,Male
WACO.2021.586,WACO21-586,9/7/2021,Willapa,Nahcotta,53,Female
WACO.2021.587,WACO21-587,9/7/2021,Willapa,Nahcotta,58,Female
WACO.2021.588,WACO21-588,9/7/2021,Willapa,Nahcotta,47,Female
